response_id,company_id,survey_year,quarter,country,region,industry,company_size,num_employees,annual_revenue_usd_millions,company_founding_year,company_age,company_age_group,ai_adoption_rate,ai_adoption_stage,years_using_ai,ai_primary_tool,num_ai_tools_used,ai_use_case,ai_projects_active,ai_training_hours,ai_budget_percentage,ai_maturity_score,ai_failure_rate,ai_investment_per_employee,regulatory_compliance_score,data_privacy_level,ai_ethics_committee,ai_risk_management_score,remote_work_percentage,employee_satisfaction_score,task_automation_rate,time_saved_per_week,productivity_change_percent,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,cost_reduction_percent,innovation_score,customer_satisfaction,survey_source,data_collection_method
19235,COMP-01203,2023,Q3,Germany,Europe,Retail,SME,451,267.74,2013,10,6-15 years,30.76,pilot,3,ChatGPT,3,Supply Chain Optimization,8,29.52,7.71,0.359,30.37,45765.31,63,Low,Yes,69,13.15,5.96,8.04,3.27,9.48,17,14,22,8.26,4.06,49,4.23,Internal Corporate Survey,Phone Interview
31240,COMP-01953,2024,Q4,Kenya,Africa,Healthcare,SME,185,113.51,1997,27,16-30 years,11.26,pilot,4,GitHub Copilot,2,Medical Diagnostics,4,0.65,5.44,0.142,40.0,33367.92,64,High,No,55,17.44,4.45,7.86,3.42,1.47,2,3,4,-2.23,0.0,52,4.97,Internal Corporate Survey,Phone Interview
54392,COMP-03400,2024,Q4,China,Asia,Healthcare,SME,862,250.68,2002,22,16-30 years,49.04,partial,5,Claude,3,Predictive Maintenance,13,32.52,14.12,0.54,17.2,41059.04,57,Medium,No,58,40.74,6.0,33.19,9.91,20.67,67,55,81,6.67,6.12,64,6.22,WEF Survey,Online Survey
81539,COMP-05097,2023,Q3,USA,North America,Finance,Startup,41,4.43,1994,29,16-30 years,34.92,pilot,2,ChatGPT,3,Fraud Detection,8,30.87,10.31,0.399,30.51,11137.49,71,High,Yes,51,59.51,4.4,24.57,8.05,10.4,2,1,3,-3.52,11.71,50,5.89,LinkedIn Poll,Phone Interview
143372,COMP-08961,2025,Q4,Nigeria,Africa,Manufacturing,Startup,90,7.41,2008,17,16-30 years,31.13,pilot,6,Other,1,Predictive Maintenance,1,16.08,8.87,0.202,26.64,7306.96,65,Low,No,47,43.44,4.53,34.33,8.75,8.41,5,4,2,9.84,0.19,48,4.18,McKinsey Report,Online Survey
106776,COMP-06674,2024,Q4,Canada,North America,Healthcare,SME,658,292.38,2009,15,6-15 years,20.1,pilot,8,GitHub Copilot,2,Customer Support,4,23.96,5.14,0.235,32.8,22856.56,51,Low,Yes,52,32.55,5.01,0.81,2.93,5.52,0,15,45,6.36,2.89,52,5.45,Internal Corporate Survey,Phone Interview
27433,COMP-01715,2025,Q1,China,Asia,Agriculture,SME,930,278.68,2005,20,16-30 years,26.94,pilot,7,Custom Internal AI,1,HR Automation,5,7.17,9.07,0.234,34.02,27168.35,88,Low,No,47,34.3,5.24,9.32,5.83,5.97,10,26,19,3.32,0.0,48,5.09,LinkedIn Poll,Phone Interview
102750,COMP-06422,2026,Q2,Japan,Asia,Finance,SME,723,441.84,1997,29,16-30 years,55.98,partial,6,Custom Internal AI,4,Customer Support,9,43.38,13.97,0.517,17.01,85348.26,71,High,Yes,67,57.5,5.72,25.88,9.56,18.9,48,45,63,16.34,8.81,60,5.88,Internal Corporate Survey,Research Compilation
35337,COMP-02209,2025,Q1,Nigeria,Africa,Manufacturing,Startup,44,21.52,2004,21,16-30 years,27.33,pilot,3,Custom Internal AI,2,HR Automation,1,11.92,8.44,0.179,34.53,41290.71,58,High,Yes,68,41.74,4.41,9.42,1.35,9.55,1,1,2,3.33,0.0,45,4.59,Internal Corporate Survey,Phone Interview
997,COMP-00063,2024,Q1,Spain,Europe,Healthcare,SME,322,75.14,2012,12,6-15 years,45.32,partial,7,Other,3,HR Automation,10,22.79,8.92,0.381,23.81,20824.16,58,Low,No,53,44.68,6.1,33.18,6.77,16.83,16,19,25,13.61,8.73,49,6.77,Internal Corporate Survey,Research Compilation
79188,COMP-04950,2023,Q4,Netherlands,Europe,Finance,SME,793,171.18,2019,4,0-5 years,45.27,partial,3,Claude,2,Customer Support,9,28.44,8.14,0.377,27.55,17578.75,81,Medium,No,59,42.46,6.75,24.82,5.21,8.48,43,48,33,0.03,7.18,61,6.4,LinkedIn Poll,API Scrape
110501,COMP-06907,2024,Q1,Sweden,Europe,Manufacturing,Startup,58,40.14,2016,8,6-15 years,35.29,partial,6,ChatGPT,1,Predictive Maintenance,8,27.0,7.69,0.348,31.44,53206.54,77,High,No,48,26.04,4.61,24.78,7.67,10.06,3,3,3,7.54,8.01,57,4.96,WEF Survey,Research Compilation
107043,COMP-06691,2023,Q3,Germany,Europe,Technology,Startup,22,11.56,2012,11,6-15 years,14.76,pilot,3,ChatGPT,1,Software Development,5,16.03,6.97,0.243,38.13,36648.4,85,Medium,No,53,71.57,5.07,0.0,0.0,3.73,0,1,1,5.2,0.0,54,4.32,LinkedIn Poll,Research Compilation
105665,COMP-06605,2023,Q1,Australia,Oceania,Manufacturing,Startup,65,3.97,2002,21,16-30 years,22.34,pilot,6,Gemini,3,HR Automation,0,3.66,11.47,0.168,35.46,7006.02,78,High,No,59,54.75,6.44,10.59,3.75,2.55,2,1,1,10.53,4.19,51,4.6,McKinsey Report,Online Survey
42450,COMP-02654,2023,Q2,Colombia,South America,Education,Startup,34,1.05,2001,22,16-30 years,37.74,partial,6,Custom Internal AI,1,Marketing Automation,10,11.32,9.15,0.336,28.06,2824.86,57,High,No,49,64.52,5.11,20.78,5.09,8.1,1,1,1,4.28,0.0,65,4.54,McKinsey Report,API Scrape
118046,COMP-07378,2026,Q2,Chile,South America,Consulting,Startup,70,31.58,2019,7,6-15 years,49.8,partial,7,ChatGPT,3,Customer Support,8,42.44,7.73,0.413,19.75,34883.1,70,High,Yes,73,56.73,4.52,35.44,8.67,15.06,6,4,6,9.1,8.92,51,5.87,LinkedIn Poll,Research Compilation
31446,COMP-01966,2024,Q2,Italy,Europe,Technology,SME,774,246.81,1999,25,16-30 years,12.83,pilot,5,GitHub Copilot,2,Customer Support,1,8.21,5.95,0.13,34.99,18984.54,77,Medium,Yes,47,39.69,5.11,3.23,0.0,1.8,0,9,44,-2.75,4.85,45,5.28,McKinsey Report,Research Compilation
66080,COMP-04130,2026,Q4,Nigeria,Africa,Healthcare,SME,386,367.83,2015,11,6-15 years,46.06,partial,10,Gemini,2,HR Automation,9,29.85,11.96,0.434,23.82,114009.24,76,Medium,Yes,66,31.03,5.71,20.45,7.34,10.82,15,23,35,7.04,5.36,57,5.69,Internal Corporate Survey,Research Compilation
60700,COMP-03794,2025,Q4,USA,North America,Logistics,Startup,16,27.22,2003,22,16-30 years,70.34,full,5,ChatGPT,3,Predictive Maintenance,11,45.99,14.96,0.574,11.48,254432.23,57,High,No,61,30.31,4.74,32.51,9.17,17.45,1,1,2,21.87,10.67,66,5.36,WEF Survey,Phone Interview
25997,COMP-01625,2026,Q1,New Zealand,Oceania,Manufacturing,Startup,53,37.04,1996,30,16-30 years,59.1,partial,3,ChatGPT,2,Supply Chain Optimization,6,23.73,12.91,0.371,28.89,90253.1,74,Medium,No,55,20.28,3.96,26.8,8.27,9.96,3,4,2,5.88,3.67,58,5.44,McKinsey Report,API Scrape
39745,COMP-02485,2023,Q1,Poland,Europe,Logistics,SME,899,50.51,1998,25,16-30 years,27.86,pilot,7,Custom Internal AI,1,Customer Support,6,28.8,3.5,0.267,30.04,1969.07,69,Medium,No,55,27.55,4.18,24.15,5.07,2.77,45,38,48,8.24,4.09,57,2.88,McKinsey Report,Online Survey
52586,COMP-03287,2025,Q2,Italy,Europe,Manufacturing,SME,441,215.02,1994,31,30+ years,22.26,pilot,8,Gemini,1,Supply Chain Optimization,0,22.08,8.13,0.2,21.42,39647.98,77,High,Yes,62,34.4,6.86,15.08,5.71,7.16,8,11,24,0.93,2.12,40,6.42,Internal Corporate Survey,Research Compilation
96603,COMP-06038,2025,Q3,Singapore,Asia,Consulting,SME,937,359.06,2015,10,6-15 years,55.9,partial,4,Other,3,Customer Support,11,36.66,10.99,0.483,26.79,42103.74,53,Medium,No,72,48.94,5.78,35.69,10.91,14.54,76,63,91,4.76,9.86,63,5.92,McKinsey Report,Online Survey
114810,COMP-07176,2025,Q2,Japan,Asia,Healthcare,Startup,61,20.1,1990,35,30+ years,24.3,pilot,3,Custom Internal AI,2,Customer Support,6,19.24,2.89,0.219,37.38,9527.51,71,High,No,59,42.13,3.97,12.59,4.97,7.38,2,0,4,4.33,5.78,41,3.16,WEF Survey,API Scrape
95603,COMP-05976,2023,Q3,Singapore,Asia,Retail,Enterprise,3674,9309.08,1998,25,16-30 years,16.81,pilot,5,GitHub Copilot,1,Marketing Automation,0,4.37,9.89,0.15,37.81,250571.05,56,Medium,No,50,48.9,4.68,16.5,5.07,6.31,113,13,137,0.12,3.09,42,4.27,WEF Survey,Research Compilation
101611,COMP-06351,2025,Q3,Japan,Asia,Technology,SME,979,378.34,1999,26,16-30 years,50.27,partial,5,ChatGPT,3,Marketing Automation,8,33.63,10.61,0.415,21.44,41005.17,66,Medium,No,44,53.64,5.49,20.14,7.08,14.82,31,58,70,-2.79,8.22,65,6.29,McKinsey Report,Online Survey
34690,COMP-02169,2023,Q2,Indonesia,Asia,Education,SME,620,215.06,1990,33,30+ years,29.75,pilot,7,ChatGPT,1,HR Automation,7,21.59,9.23,0.33,38.01,32024.79,68,High,No,62,40.5,5.41,16.09,5.4,13.42,23,17,28,4.22,6.28,43,5.87,WEF Survey,Phone Interview
146505,COMP-09157,2025,Q1,France,Europe,Logistics,Startup,36,39.29,1993,32,30+ years,14.55,pilot,5,ChatGPT,1,Predictive Maintenance,2,9.74,4.79,0.138,40.0,52257.23,68,Low,Yes,63,16.89,5.14,18.47,6.36,0.0,1,1,1,-1.0,7.13,47,4.37,WEF Survey,Online Survey
115826,COMP-07240,2023,Q2,Poland,Europe,Finance,Enterprise,12984,8213.66,1999,24,16-30 years,37.61,partial,7,Gemini,3,Fraud Detection,13,26.41,7.94,0.433,24.31,50242.14,70,High,No,60,40.8,4.69,14.14,4.18,7.09,344,555,553,14.53,0.0,68,6.35,WEF Survey,API Scrape
124872,COMP-07805,2024,Q4,Thailand,Asia,Technology,SME,960,365.07,2017,7,6-15 years,38.81,partial,5,Custom Internal AI,2,Customer Support,7,24.68,15.62,0.428,32.66,59416.41,88,High,No,59,52.66,6.42,21.69,5.2,8.75,38,56,63,12.35,0.0,56,5.55,LinkedIn Poll,Research Compilation
36425,COMP-02277,2025,Q1,Canada,North America,Healthcare,SME,952,405.85,2002,23,16-30 years,22.6,pilot,8,ChatGPT,1,Customer Support,4,15.22,3.81,0.181,37.63,16262.77,80,Medium,No,59,31.0,4.82,0.01,2.54,5.33,0,34,42,2.06,0.0,53,5.21,Internal Corporate Survey,Online Survey
80566,COMP-05036,2024,Q2,Colombia,South America,Education,Startup,46,12.38,1997,27,16-30 years,26.07,pilot,6,Custom Internal AI,2,Customer Support,6,25.38,7.91,0.311,29.11,21290.14,71,High,Yes,72,45.15,6.48,15.67,4.78,3.41,1,1,3,1.7,1.01,60,5.15,Internal Corporate Survey,Research Compilation
100901,COMP-06307,2024,Q1,Brazil,South America,Technology,Enterprise,1762,9241.71,2019,5,0-5 years,38.73,partial,5,ChatGPT,2,HR Automation,8,23.96,14.61,0.428,30.41,766353.81,73,Medium,No,57,45.37,5.36,21.71,8.94,9.95,74,69,50,-1.94,3.93,65,4.63,LinkedIn Poll,Online Survey
16709,COMP-01045,2024,Q1,Brazil,South America,Retail,SME,316,473.23,2011,13,6-15 years,29.42,pilot,8,Claude,2,Supply Chain Optimization,6,30.22,3.66,0.275,28.82,54857.84,59,High,Yes,72,29.56,4.26,24.41,6.8,7.48,16,10,20,2.63,5.63,68,4.71,WEF Survey,Phone Interview
109403,COMP-06838,2025,Q3,Philippines,Asia,Healthcare,Startup,72,18.16,2006,19,16-30 years,32.62,pilot,8,Custom Internal AI,2,Predictive Maintenance,4,17.62,7.35,0.238,39.1,18545.45,72,Low,No,55,43.28,3.39,2.59,0.19,3.45,1,2,2,3.26,0.0,60,3.72,McKinsey Report,Phone Interview
77626,COMP-04852,2025,Q2,Vietnam,Asia,Manufacturing,SME,879,318.68,2000,25,16-30 years,36.22,partial,4,ChatGPT,2,Predictive Maintenance,5,31.59,6.66,0.304,25.63,24162.97,65,Medium,No,60,5.92,4.21,24.88,7.08,3.87,40,50,86,-5.0,6.67,56,5.42,WEF Survey,Phone Interview
61955,COMP-03873,2023,Q3,Sweden,Europe,Technology,Startup,35,41.91,1998,25,16-30 years,38.83,partial,4,ChatGPT,1,Software Development,3,31.53,9.74,0.311,19.75,116580.57,85,High,No,62,56.9,4.55,19.99,3.68,9.54,3,2,3,1.69,6.83,62,5.29,Internal Corporate Survey,Phone Interview
44454,COMP-02779,2024,Q2,UK,Europe,Consulting,Startup,84,18.15,2017,7,6-15 years,16.2,pilot,6,GitHub Copilot,2,Customer Support,3,17.94,3.63,0.173,24.7,7835.48,71,High,No,40,33.81,5.94,9.83,2.28,0.0,1,1,2,-4.39,3.99,57,5.47,WEF Survey,Online Survey
119130,COMP-07446,2025,Q2,Kenya,Africa,Logistics,Enterprise,5496,3240.57,2005,20,16-30 years,28.27,pilot,7,Custom Internal AI,2,Supply Chain Optimization,10,10.4,6.21,0.293,40.0,36620.54,78,Medium,Yes,75,51.53,6.66,8.46,2.68,7.09,151,180,3,4.56,0.0,63,4.15,Internal Corporate Survey,Phone Interview
102069,COMP-06380,2024,Q1,Brazil,South America,Manufacturing,SME,635,188.36,2014,10,6-15 years,24.07,pilot,3,ChatGPT,2,Supply Chain Optimization,8,33.84,7.5,0.374,25.17,22240.85,50,Medium,No,59,19.02,4.67,9.38,4.02,5.94,4,12,39,-0.11,4.6,51,4.37,WEF Survey,Research Compilation
152329,COMP-09521,2025,Q1,Argentina,South America,Consulting,Startup,74,39.79,1993,32,30+ years,40.96,partial,7,ChatGPT,3,HR Automation,9,28.85,16.0,0.484,22.19,86048.68,64,High,Yes,77,53.14,6.11,20.59,4.32,12.49,4,3,5,10.98,8.4,70,5.61,McKinsey Report,Online Survey
87900,COMP-05494,2025,Q4,Australia,Oceania,Consulting,SME,655,485.17,2014,11,6-15 years,41.82,partial,7,Claude,2,Marketing Automation,6,30.96,11.19,0.378,19.53,82916.82,75,Medium,Yes,67,39.64,6.23,20.8,7.29,12.6,15,33,48,2.66,1.04,53,5.86,McKinsey Report,Research Compilation
121176,COMP-07574,2024,Q4,Chile,South America,Finance,SME,488,432.93,1990,34,30+ years,55.09,partial,6,Gemini,1,Customer Support,8,40.25,12.03,0.461,20.56,106746.32,71,High,No,70,55.11,5.46,22.44,8.84,6.51,22,24,44,2.64,0.0,59,5.24,Internal Corporate Survey,Phone Interview
45062,COMP-02817,2024,Q2,Poland,Europe,Finance,SME,817,82.38,2013,11,6-15 years,35.16,partial,7,GitHub Copilot,1,Marketing Automation,9,28.26,10.77,0.411,19.41,10862.12,70,High,Yes,55,71.15,5.46,18.41,7.49,3.7,30,38,56,3.21,5.02,59,5.72,McKinsey Report,Online Survey
90324,COMP-05646,2023,Q4,France,Europe,Technology,SME,387,215.29,2014,9,6-15 years,47.62,partial,2,ChatGPT,2,Customer Support,9,11.04,9.75,0.326,26.98,54217.79,68,High,No,54,68.34,5.58,36.45,8.17,11.41,27,22,13,5.96,10.9,61,6.15,Internal Corporate Survey,Online Survey
29591,COMP-01850,2024,Q3,Brazil,South America,Finance,Startup,90,47.34,2011,13,6-15 years,1.95,none,0,GitHub Copilot,1,Marketing Automation,3,17.87,1.27,0.141,27.44,6668.55,66,Low,Yes,67,42.82,5.8,0.0,0.67,0.0,0,0,5,-3.4,0.0,52,4.25,WEF Survey,API Scrape
130262,COMP-08142,2024,Q2,Vietnam,Asia,Education,Enterprise,2047,1671.36,2012,12,6-15 years,56.64,partial,7,Other,3,HR Automation,10,45.72,14.99,0.557,19.88,122357.29,75,Low,Yes,70,50.84,5.38,31.55,11.34,20.18,150,139,191,4.16,6.83,74,7.5,WEF Survey,API Scrape
42674,COMP-02668,2023,Q2,USA,North America,Education,Startup,97,36.24,2005,18,16-30 years,21.44,pilot,5,Other,3,Customer Support,6,17.82,9.72,0.304,24.44,36309.46,68,Low,Yes,75,38.46,4.76,28.15,6.56,3.08,5,3,0,-0.99,7.97,50,5.89,WEF Survey,Online Survey
70374,COMP-04399,2024,Q2,Nigeria,Africa,Healthcare,SME,618,236.07,1990,34,30+ years,49.3,partial,8,ChatGPT,2,Predictive Maintenance,12,27.79,8.06,0.423,19.43,30793.68,57,Medium,No,65,45.32,5.08,27.94,6.98,6.91,34,37,23,-3.39,8.37,58,5.53,LinkedIn Poll,Online Survey
53807,COMP-03363,2026,Q3,Japan,Asia,Finance,Startup,38,19.82,2001,25,16-30 years,34.8,pilot,7,Custom Internal AI,2,Customer Support,2,24.55,6.86,0.227,32.28,35779.59,73,Medium,No,52,50.31,6.16,12.17,4.23,0.0,1,2,2,-3.02,0.0,48,4.75,LinkedIn Poll,Phone Interview
31009,COMP-01939,2023,Q1,Netherlands,Europe,Agriculture,SME,587,471.9,1996,27,16-30 years,48.27,partial,5,Other,1,Predictive Maintenance,11,23.24,11.62,0.435,25.46,93378.57,78,Medium,No,51,31.48,7.1,36.21,7.19,16.45,46,31,22,8.45,3.21,63,6.1,LinkedIn Poll,Online Survey
37317,COMP-02333,2024,Q1,Argentina,South America,Technology,Enterprise,16074,6038.68,1994,30,16-30 years,50.57,partial,4,Claude,3,Software Development,7,29.94,16.33,0.459,22.85,61341.36,86,High,Yes,62,66.19,7.26,18.0,6.03,11.03,792,953,1239,6.07,6.95,65,5.92,Internal Corporate Survey,Phone Interview
17724,COMP-01108,2025,Q4,Spain,Europe,Healthcare,Startup,28,40.61,2014,11,6-15 years,23.54,pilot,8,ChatGPT,1,Medical Diagnostics,0,27.05,9.41,0.238,31.44,136468.98,63,Medium,No,40,37.0,5.68,14.5,1.84,2.16,1,1,2,2.03,0.78,55,5.08,McKinsey Report,API Scrape
127144,COMP-07947,2024,Q4,Colombia,South America,Manufacturing,Startup,69,45.65,2013,11,6-15 years,16.03,pilot,8,Custom Internal AI,2,HR Automation,1,14.04,3.93,0.128,23.99,26013.04,51,Medium,No,60,29.13,3.92,14.6,3.33,6.17,2,1,2,-5.0,8.07,50,4.01,WEF Survey,Online Survey
92124,COMP-05758,2025,Q4,Egypt,Africa,Finance,Startup,34,26.01,2022,3,0-5 years,49.01,partial,2,Custom Internal AI,3,Fraud Detection,11,50.39,5.51,0.467,19.59,42132.94,52,High,No,66,59.77,5.34,23.2,9.71,14.6,1,2,4,8.79,2.91,59,6.3,Internal Corporate Survey,Phone Interview
132181,COMP-08262,2024,Q1,UK,Europe,Agriculture,Startup,27,15.07,1997,27,16-30 years,33.46,pilot,3,ChatGPT,3,Predictive Maintenance,11,16.62,10.55,0.393,32.61,58893.82,75,High,Yes,61,31.92,6.06,24.94,9.11,9.6,1,1,0,0.47,2.88,63,5.3,Internal Corporate Survey,Research Compilation
91106,COMP-05695,2023,Q2,France,Europe,Technology,SME,169,141.54,2005,18,16-30 years,34.0,pilot,2,Gemini,3,Software Development,6,19.19,10.96,0.326,35.7,91784.51,75,Medium,Yes,64,69.23,4.53,32.52,7.9,7.98,11,7,4,3.56,7.34,56,5.72,LinkedIn Poll,Online Survey
36563,COMP-02286,2023,Q3,Vietnam,Asia,Healthcare,SME,416,254.42,2005,18,16-30 years,21.58,pilot,7,ChatGPT,2,Medical Diagnostics,7,7.3,5.52,0.221,35.13,33780.11,57,Medium,Yes,52,47.98,5.08,14.05,3.94,0.0,10,13,0,-0.61,5.34,48,5.3,Internal Corporate Survey,Online Survey
54047,COMP-03378,2026,Q3,Italy,Europe,Agriculture,Startup,12,27.91,2015,11,6-15 years,50.12,partial,5,ChatGPT,2,Supply Chain Optimization,9,39.03,8.97,0.432,14.23,208659.24,81,Low,No,57,45.58,7.2,30.18,9.97,15.59,1,1,1,13.34,6.19,59,6.38,Internal Corporate Survey,Research Compilation
